time_point,pitch_names
4.780000000,"[""E2"", ""E3"", ""F#5"", ""G5""]"
4.800000000,"[""E3"", ""F#5"", ""G5"", ""G#5""]"
4.820000000,"[""E3"", ""F#5"", ""G5"", ""G#5""]"
4.840000000,"[""E3"", ""F#5"", ""G5"", ""G#5""]"
4.860000000,"[""E3"", ""F#5"", ""G5"", ""G#5""]"
4.880000000,"[""E3"", ""F#5"", ""G5"", ""G#5""]"
4.900000000,"[""E3"", ""F#5"", ""G5"", ""G#5""]"
4.920000000,"[""E3"", ""G5""]"
4.940000000,"[""E3"", ""G5""]"
4.960000000,"[""E3""]"
4.980000000,"[""E3"", ""F3""]"
5.000000000,"[""E3"", ""F3""]"
5.020000000,"[""E3"", ""F3""]"
5.040000000,"[""E3"", ""F3""]"
5.060000000,"[""E3"", ""F3""]"
5.080000000,"[""E3"", ""F3""]"
5.100000000,"[""E3"", ""B4"", ""C5""]"
5.120000000,"[""E3"", ""B4"", ""C5"", ""C#5""]"
5.140000000,"[""E3"", ""B4"", ""C5"", ""C#5""]"
5.160000000,"[""E3"", ""B4"", ""C5"", ""C#5"", ""G5"", ""G#5"", ""A5""]"
5.180000000,"[""E3"", ""B4"", ""C5"", ""C#5"", ""G5"", ""G#5"", ""A5""]"
5.200000000,"[""B4"", ""C5"", ""G5"", ""G#5"", ""A5""]"
5.220000000,"[""C5"", ""G5"", ""G#5"", ""A5""]"
5.240000000,"[""C5"", ""G5"", ""G#5"", ""A5""]"
5.260000000,"[""C5"", ""G5"", ""G#5"", ""A5""]"
5.280000000,"[""G5"", ""G#5"", ""A5""]"
5.300000000,"[""G5"", ""G#5"", ""A5""]"
5.320000000,"[""G5"", ""G#5"", ""A5""]"
5.340000000,"[""G5"", ""G#5"", ""A5""]"
5.360000000,"[""G5"", ""G#5"", ""A5""]"
5.380000000,"[""G5"", ""G#5"", ""A5""]"
5.400000000,"[""C#4"", ""G#5"", ""A5""]"
5.420000000,"[""F3"", ""C#4"", ""G5"", ""G#5"", ""A5""]"
5.440000000,"[""F3"", ""G5"", ""G#5"", ""A5""]"
5.460000000,"[""E2"", ""F3"", ""G5"", ""G#5"", ""A5""]"
5.480000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5"", ""A5""]"
